genome	region	locus_tag	pfam_domain	tigrfam_domain
HpGP-ALG-010	region001	HpGP-ALG-010_00199,HpGP-ALG-010_00200,HpGP-ALG-010_00201,HpGP-ALG-010_00202,HpGP-ALG-010_00203,HpGP-ALG-010_00204,HpGP-ALG-010_00205,HpGP-ALG-010_00206,HpGP-ALG-010_00207,HpGP-ALG-010_00208,HpGP-ALG-010_00209,HpGP-ALG-010_00210,HpGP-ALG-010_00211,HpGP-ALG-010_00212,HpGP-ALG-010_00213,HpGP-ALG-010_00214,HpGP-ALG-010_00215,HpGP-ALG-010_00216,HpGP-ALG-010_00217,HpGP-ALG-010_00218	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF00083.27,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-ARG-001	region001	HpGP-ARG-001_00909,HpGP-ARG-001_00910,HpGP-ARG-001_00911,HpGP-ARG-001_00912,HpGP-ARG-001_00913,HpGP-ARG-001_00914,HpGP-ARG-001_00915,HpGP-ARG-001_00916,HpGP-ARG-001_00917,HpGP-ARG-001_00918,HpGP-ARG-001_00919,HpGP-ARG-001_00920,HpGP-ARG-001_00921,HpGP-ARG-001_00922,HpGP-ARG-001_00923,HpGP-ARG-001_00924	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF07690.19,PF07510.14,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-ARG-002	region001	HpGP-ARG-002_00925,HpGP-ARG-002_00926,HpGP-ARG-002_00927,HpGP-ARG-002_00928,HpGP-ARG-002_00929,HpGP-ARG-002_00930,HpGP-ARG-002_00931,HpGP-ARG-002_00932,HpGP-ARG-002_00933,HpGP-ARG-002_00934,HpGP-ARG-002_00935,HpGP-ARG-002_00936,HpGP-ARG-002_00937,HpGP-ARG-002_00938,HpGP-ARG-002_00939,HpGP-ARG-002_00940,HpGP-ARG-002_00941,HpGP-ARG-002_00942	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ARG-003	region001	HpGP-ARG-003_00864,HpGP-ARG-003_00865,HpGP-ARG-003_00866,HpGP-ARG-003_00867,HpGP-ARG-003_00868,HpGP-ARG-003_00869,HpGP-ARG-003_00870,HpGP-ARG-003_00871,HpGP-ARG-003_00872,HpGP-ARG-003_00873,HpGP-ARG-003_00874,HpGP-ARG-003_00875,HpGP-ARG-003_00876,HpGP-ARG-003_00877,HpGP-ARG-003_00878,HpGP-ARG-003_00879,HpGP-ARG-003_00880,HpGP-ARG-003_00881	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ARG-004	region001	HpGP-ARG-004_00400,HpGP-ARG-004_00401,HpGP-ARG-004_00402,HpGP-ARG-004_00403,HpGP-ARG-004_00404,HpGP-ARG-004_00405,HpGP-ARG-004_00406,HpGP-ARG-004_00407,HpGP-ARG-004_00408,HpGP-ARG-004_00409,HpGP-ARG-004_00410,HpGP-ARG-004_00411,HpGP-ARG-004_00412,HpGP-ARG-004_00413,HpGP-ARG-004_00414,HpGP-ARG-004_00415,HpGP-ARG-004_00416,HpGP-ARG-004_00417	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF07510.14,PF00083.27,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-ARG-005	region001	HpGP-ARG-005_00911,HpGP-ARG-005_00912,HpGP-ARG-005_00913,HpGP-ARG-005_00914,HpGP-ARG-005_00915,HpGP-ARG-005_00916,HpGP-ARG-005_00917,HpGP-ARG-005_00918,HpGP-ARG-005_00919,HpGP-ARG-005_00920,HpGP-ARG-005_00921,HpGP-ARG-005_00922,HpGP-ARG-005_00923,HpGP-ARG-005_00924,HpGP-ARG-005_00925,HpGP-ARG-005_00926,HpGP-ARG-005_00927,HpGP-ARG-005_00928,HpGP-ARG-005_00929,HpGP-ARG-005_00930	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ARG-006	region001	HpGP-ARG-006_00885,HpGP-ARG-006_00886,HpGP-ARG-006_00887,HpGP-ARG-006_00888,HpGP-ARG-006_00889,HpGP-ARG-006_00890,HpGP-ARG-006_00891,HpGP-ARG-006_00892,HpGP-ARG-006_00893,HpGP-ARG-006_00894,HpGP-ARG-006_00895,HpGP-ARG-006_00896,HpGP-ARG-006_00897,HpGP-ARG-006_00898,HpGP-ARG-006_00899	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-ARG-007	region001	HpGP-ARG-007_00868,HpGP-ARG-007_00869,HpGP-ARG-007_00870,HpGP-ARG-007_00871,HpGP-ARG-007_00872,HpGP-ARG-007_00873,HpGP-ARG-007_00874,HpGP-ARG-007_00875,HpGP-ARG-007_00876,HpGP-ARG-007_00877,HpGP-ARG-007_00878,HpGP-ARG-007_00879,HpGP-ARG-007_00880,HpGP-ARG-007_00881,HpGP-ARG-007_00882,HpGP-ARG-007_00883,HpGP-ARG-007_00884,HpGP-ARG-007_00885,HpGP-ARG-007_00886	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF07282.14,PF01385.22,PF12323.11,PF01797.19,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01766,TIGR01766,TIGR01726,TIGR01726
HpGP-ARG-008	region001	HpGP-ARG-008_00905,HpGP-ARG-008_00906,HpGP-ARG-008_00907,HpGP-ARG-008_00908,HpGP-ARG-008_00909,HpGP-ARG-008_00910,HpGP-ARG-008_00911,HpGP-ARG-008_00912,HpGP-ARG-008_00913,HpGP-ARG-008_00914,HpGP-ARG-008_00915,HpGP-ARG-008_00916,HpGP-ARG-008_00917,HpGP-ARG-008_00918,HpGP-ARG-008_00919,HpGP-ARG-008_00920,HpGP-ARG-008_00921,HpGP-ARG-008_00922	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-ARG-009	region001	HpGP-ARG-009_00960,HpGP-ARG-009_00961,HpGP-ARG-009_00962,HpGP-ARG-009_00963,HpGP-ARG-009_00964,HpGP-ARG-009_00965,HpGP-ARG-009_00966,HpGP-ARG-009_00967,HpGP-ARG-009_00968,HpGP-ARG-009_00969,HpGP-ARG-009_00970,HpGP-ARG-009_00971,HpGP-ARG-009_00972,HpGP-ARG-009_00973,HpGP-ARG-009_00974,HpGP-ARG-009_00975,HpGP-ARG-009_00976,HpGP-ARG-009_00977	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-ARG-010	region001	HpGP-ARG-010_00912,HpGP-ARG-010_00913,HpGP-ARG-010_00914,HpGP-ARG-010_00915,HpGP-ARG-010_00916,HpGP-ARG-010_00917,HpGP-ARG-010_00918,HpGP-ARG-010_00919,HpGP-ARG-010_00920,HpGP-ARG-010_00921,HpGP-ARG-010_00922,HpGP-ARG-010_00923,HpGP-ARG-010_00924,HpGP-ARG-010_00925,HpGP-ARG-010_00926,HpGP-ARG-010_00927,HpGP-ARG-010_00928,HpGP-ARG-010_00929	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF07690.19,PF07510.14,PF03235.17,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-BGD-001	region001	HpGP-BGD-001_00627,HpGP-BGD-001_00628,HpGP-BGD-001_00629,HpGP-BGD-001_00630,HpGP-BGD-001_00631,HpGP-BGD-001_00632,HpGP-BGD-001_00633,HpGP-BGD-001_00634,HpGP-BGD-001_00635,HpGP-BGD-001_00636,HpGP-BGD-001_00637,HpGP-BGD-001_00638,HpGP-BGD-001_00639,HpGP-BGD-001_00640,HpGP-BGD-001_00641,HpGP-BGD-001_00642,HpGP-BGD-001_00643	PF02367.20,PF00005.30,PF00309.23,PF04963.16,PF04552.16,PF13023.9,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00150,TIGR00150,TIGR04406,TIGR04406,TIGR02395,TIGR02395,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-BGD-002	region001	HpGP-BGD-002_00869,HpGP-BGD-002_00870,HpGP-BGD-002_00871,HpGP-BGD-002_00872,HpGP-BGD-002_00873,HpGP-BGD-002_00874,HpGP-BGD-002_00875,HpGP-BGD-002_00876,HpGP-BGD-002_00877,HpGP-BGD-002_00878,HpGP-BGD-002_00879,HpGP-BGD-002_00880,HpGP-BGD-002_00881,HpGP-BGD-002_00882,HpGP-BGD-002_00883	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-BGD-003	region001	HpGP-BGD-003_00920,HpGP-BGD-003_00921,HpGP-BGD-003_00922,HpGP-BGD-003_00923,HpGP-BGD-003_00924,HpGP-BGD-003_00925,HpGP-BGD-003_00926,HpGP-BGD-003_00927,HpGP-BGD-003_00928,HpGP-BGD-003_00929,HpGP-BGD-003_00930,HpGP-BGD-003_00931,HpGP-BGD-003_00932,HpGP-BGD-003_00933,HpGP-BGD-003_00934,HpGP-BGD-003_00935,HpGP-BGD-003_00936	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-BGD-004	region001	HpGP-BGD-004_00966,HpGP-BGD-004_00967,HpGP-BGD-004_00968,HpGP-BGD-004_00969,HpGP-BGD-004_00970,HpGP-BGD-004_00971,HpGP-BGD-004_00972,HpGP-BGD-004_00973,HpGP-BGD-004_00974,HpGP-BGD-004_00975,HpGP-BGD-004_00976,HpGP-BGD-004_00977,HpGP-BGD-004_00978,HpGP-BGD-004_00979,HpGP-BGD-004_00980,HpGP-BGD-004_00981,HpGP-BGD-004_00982	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-BGD-005	region001	HpGP-BGD-005_00649,HpGP-BGD-005_00650,HpGP-BGD-005_00651,HpGP-BGD-005_00652,HpGP-BGD-005_00653,HpGP-BGD-005_00654,HpGP-BGD-005_00655,HpGP-BGD-005_00656,HpGP-BGD-005_00657,HpGP-BGD-005_00658,HpGP-BGD-005_00659,HpGP-BGD-005_00660,HpGP-BGD-005_00661,HpGP-BGD-005_00662,HpGP-BGD-005_00663,HpGP-BGD-005_00664,HpGP-BGD-005_00665	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF13023.9,PF02661.21,PF04552.16,PF04963.16,PF00309.23,PF00005.30	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR02395,TIGR02395,TIGR04406,TIGR04406
HpGP-BGD-006	region001	HpGP-BGD-006_00870,HpGP-BGD-006_00871,HpGP-BGD-006_00872,HpGP-BGD-006_00873,HpGP-BGD-006_00874,HpGP-BGD-006_00875,HpGP-BGD-006_00876,HpGP-BGD-006_00877,HpGP-BGD-006_00878,HpGP-BGD-006_00879,HpGP-BGD-006_00880,HpGP-BGD-006_00881,HpGP-BGD-006_00882,HpGP-BGD-006_00883,HpGP-BGD-006_00884,HpGP-BGD-006_00885,HpGP-BGD-006_00886,HpGP-BGD-006_00887,HpGP-BGD-006_00888	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-BGD-007	region001	HpGP-BGD-007_00902,HpGP-BGD-007_00903,HpGP-BGD-007_00904,HpGP-BGD-007_00905,HpGP-BGD-007_00906,HpGP-BGD-007_00907,HpGP-BGD-007_00908,HpGP-BGD-007_00909,HpGP-BGD-007_00910,HpGP-BGD-007_00911,HpGP-BGD-007_00912,HpGP-BGD-007_00913,HpGP-BGD-007_00914,HpGP-BGD-007_00915,HpGP-BGD-007_00916,HpGP-BGD-007_00917,HpGP-BGD-007_00918,HpGP-BGD-007_00919,HpGP-BGD-007_00920	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
