genome	region	start	end	region_length_bp	avg_p	max_p	type
HpGP-CAN-017	HpGP-CAN-017_cluster_1	224687	228995	4309	0.795866511367292	0.936316115196682	Unknown
HpGP-POR-113	HpGP-POR-113_cluster_1	220355	224541	4187	0.796005729054337	0.937012172685252	Unknown
HpGP-PER-108	HpGP-PER-108_cluster_1	221689	226035	4347	0.796005727995925	0.937012172741089	Unknown
HpGP-SPA-201	HpGP-SPA-201_cluster_1	1287392	1291805	4414	0.795823272103397	0.937150647959834	Unknown
HpGP-HON-001	HpGP-HON-001_cluster_1	222200	226617	4418	0.796005724885475	0.937012173125121	Unknown
HpGP-KOR-119	HpGP-KOR-119_cluster_1	229979	234348	4370	0.796005729511335	0.937012174970241	Unknown
HpGP-KOR-119	HpGP-KOR-119_cluster_2	553631	556185	2555	0.362823404673906	0.395200788210732	Polyketide
HpGP-CAN-014	HpGP-CAN-014_cluster_1	227347	231531	4185	0.796005722864452	0.937012172699798	Unknown
HpGP-PER-106	HpGP-PER-106_cluster_1	222141	226507	4367	0.796005723123783	0.937012172685252	Unknown
HpGP-NPL-011	HpGP-NPL-011_cluster_1	224407	228601	4195	0.796005724242022	0.937012172685252	Unknown
HpGP-GRE-044	HpGP-GRE-044_cluster_1	219782	223972	4191	0.796005730476766	0.937012172685252	Unknown
HpGP-MEX-004	HpGP-MEX-004_cluster_1	219253	223493	4241	0.796005728077565	0.937012173149291	Unknown
HpGP-SWE-028	HpGP-SWE-028_cluster_1	215522	219893	4372	0.796005729177443	0.937012172741089	Unknown
HpGP-MMR-006	HpGP-MMR-006_cluster_1	219037	223686	4650	0.948694135537559	0.9998912570124	Unknown
HpGP-GRE-002	HpGP-GRE-002_cluster_1	263124	267494	4371	0.796005723123783	0.937012172685252	Unknown
HpGP-TUR-005	HpGP-TUR-005_cluster_1	223545	227916	4372	0.796005723322004	0.937012174970241	Unknown
HpGP-LIT-007	HpGP-LIT-007_cluster_1	188204	193461	5258	0.540523000826554	0.66235527252081	Unknown
HpGP-PER-109	HpGP-PER-109_cluster_1	222056	226423	4368	0.796005729054337	0.937012172685252	Unknown
HpGP-BGR-005	HpGP-BGR-005_cluster_1	226049	230419	4371	0.796005723122969	0.937012172685252	Unknown
HpGP-KOR-117	HpGP-KOR-117_cluster_1	236558	240889	4332	0.796007314633789	0.937012174970241	Unknown
HpGP-COL-207	HpGP-COL-207_cluster_1	223956	228369	4414	0.796005724542542	0.937012172685252	Unknown
HpGP-SPA-312	HpGP-SPA-312_cluster_1	225752	229943	4192	0.796006087548987	0.937012172685252	Unknown
HpGP-NPL-013	HpGP-NPL-013_cluster_1	195768	200171	4404	0.796005722878067	0.937012172685252	Unknown
HpGP-CHI-119	HpGP-CHI-119_cluster_1	222300	226605	4306	0.796005730699284	0.937012172685252	Unknown
HpGP-GER-004	HpGP-GER-004_cluster_1	271853	276220	4368	0.796005728932838	0.937012172685252	Unknown
HpGP-KOR-010	HpGP-KOR-010_cluster_1	232010	236201	4192	0.796005885016063	0.937012172685252	Unknown
HpGP-USA-425	HpGP-USA-425_cluster_1	242426	246617	4192	0.796005727984757	0.937012172685252	Unknown
HpGP-MEX-010	HpGP-MEX-010_cluster_1	222012	226247	4236	0.796005729044806	0.937012172637595	Unknown
HpGP-CHI-018	HpGP-CHI-018_cluster_1	220503	224722	4220	0.796005884820492	0.937012172685252	Unknown
HpGP-COL-301	HpGP-COL-301_cluster_1	225561	229637	4077	0.796006093629153	0.937012172685252	Unknown
HpGP-COL-308	HpGP-COL-308_cluster_1	219263	223497	4235	0.796006093776311	0.937012172685252	Unknown
HpGP-CRI-008	HpGP-CRI-008_cluster_1	1317984	1323182	5199	0.523613530455217	0.911477106685869	Unknown
HpGP-USA-302	HpGP-USA-302_cluster_1	221300	225533	4234	0.796005729155141	0.937012172629576	Unknown
HpGP-KOR-021	HpGP-KOR-021_cluster_1	228043	232233	4191	0.796005729054337	0.937012172685252	Unknown
HpGP-PER-114	HpGP-PER-114_cluster_1	224483	228902	4420	0.796007465381835	0.937012172685252	Unknown
HpGP-HON-009	HpGP-HON-009_cluster_1	218895	223307	4413	0.796005725254499	0.937012174970241	Unknown
HpGP-SPA-320	HpGP-SPA-320_cluster_1	225747	229934	4188	0.796005729147145	0.937012173149291	Unknown
HpGP-JOR-007	HpGP-JOR-007_cluster_1	226967	231199	4233	0.796005729054337	0.937012172685252	Unknown
HpGP-TWN-001	HpGP-TWN-001_cluster_1	231361	235701	4341	0.796005728441755	0.937012174970241	Unknown
HpGP-USA-205	HpGP-USA-205_cluster_1	1098249	1102614	4366	0.7958231224441	0.937150648181761	Unknown
HpGP-MMR-011	HpGP-MMR-011_cluster_1	235095	239471	4377	0.796005723458664	0.937012173202682	Unknown
HpGP-CAN-025	HpGP-CAN-025_cluster_1	239814	244262	4449	0.796005723200319	0.937012172685252	Unknown
HpGP-PER-018	HpGP-PER-018_cluster_1	1131939	1136292	4354	0.795823121368644	0.937150648174833	Unknown
HpGP-BGD-003	HpGP-BGD-003_cluster_1	243318	247693	4376	0.948836087918555	0.999891257012298	Unknown
HpGP-ITA-003	HpGP-ITA-003_cluster_1	905958	910386	4429	0.796006084392856	0.937012172685252	Unknown
HpGP-LIT-026	HpGP-LIT-026_cluster_1	231597	235830	4234	0.796005729054337	0.937012172685252	Unknown
HpGP-SPA-305	HpGP-SPA-305_cluster_1	1283918	1288152	4235	0.795823121368644	0.937150648174833	Unknown
HpGP-LAT-015	HpGP-LAT-015_cluster_1	216585	220958	4374	0.796005723124858	0.937012172685252	Unknown
HpGP-USA-101	HpGP-USA-101_cluster_1	223336	227736	4401	0.796005727757931	0.937012172685252	Unknown
HpGP-SPA-804	HpGP-SPA-804_cluster_1	220399	224767	4369	0.796005878767906	0.937012173149291	Unknown
HpGP-ALG-009	HpGP-ALG-009_cluster_1	280439	284670	4232	0.796005884820492	0.937012172685252	Unknown
HpGP-NPL-005	HpGP-NPL-005_cluster_1	215496	219872	4377	0.796005729054337	0.937012172685252	Unknown
HpGP-POL-003	HpGP-POL-003_cluster_1	219801	224218	4418	0.796005723123783	0.937012172685252	Unknown
HpGP-USA-403	HpGP-USA-403_cluster_1	250479	254715	4237	0.796005732258127	0.937012172685252	Unknown
HpGP-USA-413	HpGP-USA-413_cluster_1	221425	225614	4190	0.796005729166276	0.937012172685252	Unknown
HpGP-LAT-021	HpGP-LAT-021_cluster_1	216838	221250	4413	0.796005729266729	0.937012172685252	Unknown
HpGP-ISL-001	HpGP-ISL-001_cluster_1	224599	229002	4404	0.796005727984757	0.937012172685252	Unknown
HpGP-COL-303	HpGP-COL-303_cluster_1	219348	223688	4341	0.796005136530387	0.937009202866702	Unknown
HpGP-SPA-313	HpGP-SPA-313_cluster_1	207644	220395	12752	0.912535300285099	0.999902180125931	Unknown
HpGP-USA-011	HpGP-USA-011_cluster_1	233076	237266	4191	0.796005134858971	0.937009202866702	Unknown
HpGP-USA-011	HpGP-USA-011_cluster_2	1417283	1420096	2814	0.425100367403454	0.439950276636436	RiPP
HpGP-CHI-125	HpGP-CHI-125_cluster_1	223371	227593	4223	0.796005730227781	0.937012172469809	Unknown
HpGP-JAP-114	HpGP-JAP-114_cluster_1	234746	239115	4370	0.796005723580781	0.937012174970241	Unknown
HpGP-KAZ-002	HpGP-KAZ-002_cluster_1	240045	244412	4368	0.796006084065022	0.937012172685252	Unknown
HpGP-GMB-008	HpGP-GMB-008_cluster_1	221816	226050	4235	0.796005727984757	0.937012172685252	Unknown
HpGP-SPA-015	HpGP-SPA-015_cluster_1	227471	231661	4191	0.796005136740883	0.937009202893249	Unknown
HpGP-USA-432	HpGP-USA-432_cluster_1	217687	221922	4236	0.796005727984757	0.937012172685252	Unknown
HpGP-SWE-001	HpGP-SWE-001_cluster_1	221423	225744	4322	0.948836087890003	0.999891257012307	Unknown
HpGP-KOR-009	HpGP-KOR-009_cluster_1	224832	229206	4375	0.796005723123783	0.937012172685252	Unknown
HpGP-KOR-041	HpGP-KOR-041_cluster_1	234122	238313	4192	0.796005729032154	0.937012172574335	Unknown
HpGP-ITA-016	HpGP-ITA-016_cluster_1	218021	222176	4156	0.795866517556623	0.936316115196682	Unknown
HpGP-VNM-006	HpGP-VNM-006_cluster_1	231765	236137	4373	0.796005727984757	0.937012172685252	Unknown
HpGP-USA-301	HpGP-USA-301_cluster_1	218732	223143	4412	0.796005723131754	0.937012172741089	Unknown
HpGP-MMR-003	HpGP-MMR-003_cluster_1	239493	243866	4374	0.796005730494098	0.937012172685252	Unknown
HpGP-USA-428	HpGP-USA-428_cluster_1	225194	229424	4231	0.796005729166674	0.937012172687242	Unknown
HpGP-USA-104	HpGP-USA-104_cluster_1	220996	225227	4232	0.796005727984757	0.937012172685252	Unknown
HpGP-CHI-026	HpGP-CHI-026_cluster_1	222124	226315	4192	0.948836087925417	0.999891257011926	Unknown
HpGP-JAP-111	HpGP-JAP-111_cluster_1	241411	244925	3515	0.85031219071198	0.947013802324985	Unknown
HpGP-LAT-014	HpGP-LAT-014_cluster_1	225081	229301	4221	0.796005729054337	0.937012172685252	Unknown
HpGP-BRA-018	HpGP-BRA-018_cluster_1	223247	227657	4411	0.796005729166674	0.937012172687242	Unknown
HpGP-FRA-001	HpGP-FRA-001_cluster_1	1425426	1429742	4317	0.948817880784212	0.999891512082884	Unknown
HpGP-CAN-015	HpGP-CAN-015_cluster_1	589977	597921	7945	0.623955421413999	0.813165648866704	Saccharide
HpGP-SWE-012	HpGP-SWE-012_cluster_1	220241	224475	4235	0.796005729056872	0.937012172697929	Unknown
HpGP-SWE-006	HpGP-SWE-006_cluster_1	252730	256964	4235	0.796005728822681	0.937012172685252	Unknown
HpGP-SGP-004	HpGP-SGP-004_cluster_1	242819	249050	6232	0.961335876348947	0.999850615202445	Unknown
HpGP-NPL-006	HpGP-NPL-006_cluster_1	215499	219875	4377	0.796005729054337	0.937012172685252	Unknown
HpGP-LIT-003	HpGP-LIT-003_cluster_1	215139	219508	4370	0.796005729054337	0.937012172685252	Unknown
HpGP-DOM-010	HpGP-DOM-010_cluster_1	265315	269727	4413	0.796005723123783	0.937012172685252	Unknown
HpGP-SWE-004	HpGP-SWE-004_cluster_1	223781	227824	4044	0.796027770164639	0.937012172685252	Unknown
HpGP-VNM-009	HpGP-VNM-009_cluster_1	1195696	1199886	4191	0.795823122898774	0.937150650455131	Unknown
HpGP-KOR-048	HpGP-KOR-048_cluster_1	240754	244944	4191	0.948836087921593	0.999891257012307	Unknown
HpGP-SPA-601	HpGP-SPA-601_cluster_1	1273299	1277490	4192	0.795823122747944	0.937150648637915	Unknown
HpGP-SGP-006	HpGP-SGP-006_cluster_1	220520	225172	4653	0.796005729511335	0.937012174970241	Unknown
HpGP-MAL-002	HpGP-MAL-002_cluster_1	187918	194364	6447	0.96133587621627	0.999850615202445	Unknown
HpGP-SPA-706	HpGP-SPA-706_cluster_1	219048	223417	4370	0.796006094233309	0.937012174970241	Unknown
HpGP-BGD-009	HpGP-BGD-009_cluster_1	217517	221750	4234	0.79600572318433	0.937012172982478	Unknown
HpGP-PRI-002	HpGP-PRI-002_cluster_1	133219	145782	12564	0.876396156039213	0.996653197664574	Unknown
HpGP-PRI-002	HpGP-PRI-002_cluster_2	155603	156446	844	0.922875731247268	0.93606757467965	Unknown
HpGP-PER-101	HpGP-PER-101_cluster_1	221826	226067	4242	0.796005729266729	0.937012172685252	Unknown
HpGP-COL-206	HpGP-COL-206_cluster_1	223844	228259	4416	0.796005727984757	0.937012172685252	Unknown
HpGP-SPA-016	HpGP-SPA-016_cluster_1	221679	226095	4417	0.948836087918555	0.999891257012298	Unknown
HpGP-ITA-007	HpGP-ITA-007_cluster_1	215860	220231	4372	0.948836087890002	0.999891257012298	Unknown
HpGP-ITA-020	HpGP-ITA-020_cluster_1	221237	225465	4229	0.796005729011248	0.937012172469809	Unknown
HpGP-CAN-012	HpGP-CAN-012_cluster_1	222388	226617	4230	0.796005729166276	0.937012172685252	Unknown
HpGP-BRA-002	HpGP-BRA-002_cluster_1	226424	230833	4410	0.796005128978992	0.937009201961295	Unknown
HpGP-ARG-008	HpGP-ARG-008_cluster_1	239681	244068	4388	0.796005730459738	0.937012172685252	Unknown
HpGP-SPA-405	HpGP-SPA-405_cluster_1	218093	222457	4365	0.796005729054337	0.937012172685252	Unknown
HpGP-GRE-040	HpGP-GRE-040_cluster_1	222769	227137	4369	0.796005729166276	0.937012172685252	Unknown
HpGP-COL-107	HpGP-COL-107_cluster_1	218823	223191	4369	0.796005727995925	0.937012172741089	Unknown
HpGP-TWN-003	HpGP-TWN-003_cluster_1	247249	251620	4372	0.796005729723727	0.937012174970241	Unknown
HpGP-MAL-016	HpGP-MAL-016_cluster_1	241235	245458	4224	0.796005723359969	0.937012172685252	Unknown
HpGP-SWT-006	HpGP-SWT-006_cluster_1	270814	275233	4420	0.948836087918555	0.999891257012298	Unknown
HpGP-ISR-009	HpGP-ISR-009_cluster_1	303897	308127	4231	0.796005884820492	0.937012172685252	Unknown
HpGP-CHI-124	HpGP-CHI-124_cluster_1	229755	233996	4242	0.945596346009298	0.999904988940125	Unknown
HpGP-COL-306	HpGP-COL-306_cluster_1	220703	225382	4680	0.948694135543478	0.999891257012298	Unknown
HpGP-ITA-018	HpGP-ITA-018_cluster_1	220825	225237	4413	0.796006084777033	0.937012172685252	Unknown
HpGP-LIT-030	HpGP-LIT-030_cluster_2	215429	219800	4372	0.795823504089221	0.936316115196682	Unknown
HpGP-TWN-007	HpGP-TWN-007_cluster_1	287900	292089	4190	0.796005723134951	0.937012172741089	Unknown
HpGP-BGD-005	HpGP-BGD-005_cluster_1	217526	221759	4234	0.796005729054337	0.937012172685252	Unknown
HpGP-USA-408	HpGP-USA-408_cluster_1	219952	224068	4117	0.796005729054337	0.937012172685252	Unknown
HpGP-JAP-113	HpGP-JAP-113_cluster_1	240366	244737	4372	0.796005723124885	0.937012172685252	Unknown
HpGP-SPA-311	HpGP-SPA-311_cluster_1	221859	226230	4372	0.796005729054337	0.937012172685252	Unknown
HpGP-ITA-013	HpGP-ITA-013_cluster_1	217482	221715	4234	0.796005878907761	0.937012172685252	Unknown
HpGP-SPA-407	HpGP-SPA-407_cluster_1	263425	267664	4240	0.796005729054337	0.937012172685252	Unknown
HpGP-BGD-002	HpGP-BGD-002_cluster_1	193711	198039	4329	0.796005723123015	0.937012172685252	Unknown
HpGP-USA-206	HpGP-USA-206_cluster_1	224762	229174	4413	0.796005723124885	0.937012172685252	Unknown
HpGP-CHN-009	HpGP-CHN-009_cluster_1	149182	165584	16403	0.58118292467213	0.629555813623094	Unknown
HpGP-CHN-009	HpGP-CHN-009_cluster_2	244361	248553	4193	0.796005730459738	0.937012172685252	Unknown
HpGP-SPA-509	HpGP-SPA-509_cluster_1	228233	232643	4411	0.813914507787192	0.937012172685252	Unknown
HpGP-IND-008	HpGP-IND-008_cluster_1	217678	222081	4404	0.796005723123783	0.937012172685252	Unknown
HpGP-SPA-321	HpGP-SPA-321_cluster_1	245958	250193	4236	0.796005723123783	0.937012172685252	Unknown
HpGP-SWE-008	HpGP-SWE-008_cluster_1	1155099	1160672	5574	0.651296013074949	0.912378952582293	Unknown
HpGP-MEX-045	HpGP-MEX-045_cluster_1	226276	230511	4236	0.796005724571021	0.937012172685252	Unknown
HpGP-POR-001	HpGP-POR-001_cluster_1	222329	226746	4418	0.796005723124871	0.937012172685252	Unknown
HpGP-PER-117	HpGP-PER-117_cluster_1	222418	226838	4421	0.796005885122459	0.937012173217228	Unknown
HpGP-SPA-318	HpGP-SPA-318_cluster_1	224315	228503	4189	0.796005883540323	0.937012172699798	Unknown
HpGP-BRA-004	HpGP-BRA-004_cluster_1	226091	230320	4230	0.796005729054337	0.937012172685252	Unknown
HpGP-COL-110	HpGP-COL-110_cluster_1	226597	231012	4416	0.796005723126319	0.937012172697929	Unknown
HpGP-IDN-004	HpGP-IDN-004_cluster_1	224178	228545	4368	0.796005730569574	0.937012173149291	Unknown
