genome	region	orig_start	orig_end	region_length_bp	contig_edge	product	rules	category
HpGP-CAN-022	region001	411762	432674	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-023	region001	903647	924559	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-025	region001	411875	432787	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-026	region001	411830	432742	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-001	region001	322703	343615	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-002	region001	923993	944905	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-004	region001	972095	993007	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-005	region001	952976	973888	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-006	region001	931367	952279	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-007	region001	952427	973339	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-008	region001	949847	970759	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-010	region001	984516	1005428	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-011	region001	371249	392161	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-014	region001	1010015	1030927	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-016	region001	898096	919008	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-017	region001	282534	303446	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-018	region001	1022208	1043120	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-021	region001	951886	972798	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-022	region001	987346	1008258	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-023	region001	659883	680795	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-024	region001	956588	977500	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-026	region001	933080	953992	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-027	region001	948026	968938	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-028	region001	668297	689209	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-101	region001	957394	978306	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-102	region001	957703	978615	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-103	region001	923118	944030	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-104	region001	970101	991013	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-105	region001	669307	690219	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-106	region001	917649	938561	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-107	region001	668261	689173	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-110	region001	689865	710777	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-113	region001	951845	972757	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-114	region001	986822	1007734	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-116	region001	997013	1017925	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-117	region001	952290	973202	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-119	region001	956670	977582	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-120	region001	945810	966722	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-122	region001	1428756	1449668	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-123	region001	659350	680262	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-124	region001	957820	978732	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-125	region001	932961	953873	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-126	region001	956823	977735	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-127	region001	956518	977430	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-204	region001	999681	1020593	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-207	region001	650569	671481	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-208	region001	953181	974093	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-209	region001	657688	678600	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-210	region001	922316	943228	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHI-212	region001	953045	973957	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-001	region001	429459	450371	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-002	region001	957161	978073	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-003	region001	996561	1017473	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-004	region001	961454	982366	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-005	region001	973219	994131	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-006	region001	944546	965458	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-007	region001	939351	960263	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-008	region001	985465	1006377	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-009	region001	950641	971553	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CHN-010	region001	427284	448196	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-001	region001	938166	959078	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-002	region001	985963	1006875	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-003	region001	940054	960966	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-004	region001	942240	963152	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-005	region001	941590	962502	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-006	region001	944454	965366	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-007	region001	990605	1011517	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-008	region001	950505	971417	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-009	region001	934068	954968	20900	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-010	region001	951279	972191	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COG-011	region001	943271	964183	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-002	region001	912396	933308	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-003	region001	979867	1000779	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-004	region001	899118	920030	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-005	region001	982275	1003187	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-006	region001	955986	976730	20744	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-008	region001	1003237	1024149	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-010	region001	963038	983950	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-102	region001	952444	973356	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-103	region001	921769	942681	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-104	region001	922898	943810	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-105	region001	949327	970239	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-106	region001	692123	713035	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-107	region001	995143	1016055	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-108	region001	954027	974939	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-109	region001	383062	403974	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-110	region001	524085	544997	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-112	region001	1013534	1034446	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-113	region001	960161	981073	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-114	region001	923815	944727	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-118	region001	947951	968863	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-119	region001	978715	999627	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-120	region001	1009357	1030269	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-121	region001	1004811	1025723	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-122	region001	1016020	1036932	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-201	region001	146370	167282	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-202	region001	950643	971555	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-203	region001	956384	977296	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-204	region001	949131	970043	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-205	region001	946336	967248	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-206	region001	943925	964837	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-207	region001	957055	977967	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-208	region001	958496	979408	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-209	region001	900627	921539	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-210	region001	987084	1007996	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-211	region001	952528	973440	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-301	region001	953913	974825	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-302	region001	1036684	1057596	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-303	region001	938430	959342	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-305	region001	491042	511954	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-306	region001	954931	975843	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-307	region001	935300	956212	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-308	region001	955390	976302	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-309	region001	938352	959264	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-310	region001	657763	678675	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-COL-318	region001	945962	966874	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-001	region001	399065	419977	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-002	region001	847650	868562	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-003	region001	1033431	1054343	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-004	region001	958685	979597	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-005	region001	991725	1012637	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-006	region001	1343743	1364655	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-007	region001	964035	984947	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CRI-008	region001	917449	938361	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-001	region001	950630	971542	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-002	region001	1199749	1220661	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-003	region001	1008380	1029292	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-004	region001	943895	964807	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-005	region001	1420802	1441714	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-006	region001	950071	970983	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-007	region001	944046	964958	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-008	region001	333566	354478	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-009	region001	966754	987666	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-010	region001	951355	972267	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-DOM-011	region001	952668	973580	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-001	region001	1014331	1035243	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-002	region001	644977	665889	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-003	region001	937743	958679	20936	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-004	region001	948920	969832	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-005	region001	1015915	1036827	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-006	region001	945357	966269	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-007	region001	974921	995833	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-008	region001	555568	576480	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-009	region001	518085	538997	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-010	region001	378554	399466	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-011	region001	947918	968830	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-012	region001	960338	981250	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-013	region001	614312	635224	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-014	region001	960352	981264	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-015	region001	982081	1002993	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-016	region001	668293	689208	20915	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-017	region001	945578	966490	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-018	region001	937577	958489	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-019	region001	992352	1013264	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-020	region001	957182	978094	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-FRA-021	region001	940009	960921	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-001	region001	979815	1000727	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-002	region001	1335515	1356427	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-003	region001	921036	941948	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-004	region001	950692	971604	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-005	region001	946119	967031	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-006	region001	939614	960526	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-007	region001	944725	965637	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-009	region001	1010184	1031096	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-010	region001	906655	927567	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-012	region001	481172	502084	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-013	region001	904039	924954	20915	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-GER-015	region001	859225	880137	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
