cluster_id	cluster_length	gcf_id	gcf_representative	nucleotide_representative	fragment_representative	filename
BGC0001518	23499	GCF0000017	BGC0001518	BGC0001518	BGC0001518	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001142	59698	GCF0000018	BGC0001142	BGC0001142	BGC0001142	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002250	42501	GCF0000019	BGC0001563	BGC0002250	BGC0002250	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001563	53000	GCF0000019	BGC0001563	BGC0001563	BGC0001563	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001741	42946	GCF0000020	BGC0001741	BGC0001741	BGC0001741	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000046	25000	GCF0000021	BGC0000046	BGC0000046	BGC0000046	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000355	24812	GCF0000022	BGC0000355	BGC0000355	BGC0000355	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002539	37406	GCF0000023	BGC0002539	BGC0002539	BGC0002539	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002546	37704	GCF0000024	BGC0002546	BGC0002546	BGC0002546	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001881	43279	GCF0000025	BGC0000983	BGC0001881	BGC0001881	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000983	45018	GCF0000025	BGC0000983	BGC0000983	BGC0000983	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002235	73512	GCF0000026	BGC0002235	BGC0002235	BGC0002235	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002205	30101	GCF0000027	BGC0002204	BGC0002205	BGC0002205	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002204	39708	GCF0000027	BGC0002204	BGC0002204	BGC0002204	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001724	71056	GCF0000028	BGC0001724	BGC0001724	BGC0001724	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001515	64035	GCF0000029	BGC0001515	BGC0001515	BGC0001515	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001338	42813	GCF0000030	BGC0000027	BGC0001338	BGC0001338	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000894	44000	GCF0000030	BGC0000027	BGC0001338	BGC0001338	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000027	80000	GCF0000030	BGC0000027	BGC0000027	BGC0000027	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0003150	32293	GCF0000031	BGC0003150	BGC0003150	BGC0003150	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002209	37510	GCF0000032	BGC0002209	BGC0002209	BGC0002209	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002734	21001	GCF0000033	BGC0002734	BGC0002734	BGC0002734	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002196	36246	GCF0000034	BGC0002196	BGC0002196	BGC0002196	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001404	28758	GCF0000035	BGC0002190	BGC0001404	BGC0001404	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002190	34616	GCF0000035	BGC0002190	BGC0002190	BGC0002190	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002165	21830	GCF0000036	BGC0001264	BGC0002165	BGC0002165	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001264	50001	GCF0000036	BGC0001264	BGC0001264	BGC0001264	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000022	41240	GCF0000037	BGC0002867	BGC0000022	BGC0000022	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002267	50173	GCF0000037	BGC0002867	BGC0002267	BGC0002267	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001405	59510	GCF0000037	BGC0002867	BGC0001405	BGC0001405	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002867	74487	GCF0000037	BGC0002867	BGC0002867	BGC0002867	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002255	34501	GCF0000038	BGC0002255	BGC0002255	BGC0002255	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002206	39474	GCF0000039	BGC0002206	BGC0002206	BGC0002206	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002438	51164	GCF0000040	BGC0002438	BGC0002438	BGC0002438	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001246	28428	GCF0000041	BGC0000045	BGC0001246	BGC0001246	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000045	31000	GCF0000041	BGC0000045	BGC0000045	BGC0000045	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001245	26273	GCF0000042	BGC0001057	BGC0001245	BGC0001245	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002187	30501	GCF0000042	BGC0001057	BGC0002187	BGC0002187	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000134	31332	GCF0000042	BGC0001057	BGC0000134	BGC0000134	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000076	36275	GCF0000042	BGC0001057	BGC0000077	BGC0000077	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000077	42765	GCF0000042	BGC0001057	BGC0000077	BGC0000077	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001057	49993	GCF0000042	BGC0001057	BGC0001057	BGC0001057	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002887	21714	GCF0000043	BGC0002887	BGC0002887	BGC0002887	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001305	24253	GCF0000044	BGC0002185	BGC0001305	BGC0001305	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002185	28322	GCF0000044	BGC0002185	BGC0002185	BGC0002185	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000070	55000	GCF0000045	BGC0000070	BGC0000070	BGC0000070	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002253	33994	GCF0000046	BGC0002253	BGC0002253	BGC0002253	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002709	29001	GCF0000047	BGC0002709	BGC0002709	BGC0002709	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001866	33290	GCF0000048	BGC0001866	BGC0001866	BGC0001866	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001882	43357	GCF0000049	BGC0001882	BGC0001882	BGC0001882	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002227	18661	GCF0000050	BGC0002227	BGC0002227	BGC0002227	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002228	18237	GCF0000051	BGC0002228	BGC0002228	BGC0002228	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001084	40738	GCF0000052	BGC0002254	BGC0001084	BGC0001084	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000818	43815	GCF0000052	BGC0002254	BGC0000818	BGC0000818	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002254	46989	GCF0000052	BGC0002254	BGC0002254	BGC0002254	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002257	21661	GCF0000053	BGC0002063	BGC0002257	BGC0002257	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000101	24251	GCF0000053	BGC0002063	BGC0000101	BGC0000101	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002592	24926	GCF0000053	BGC0002063	BGC0002592	BGC0002592	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001403	25711	GCF0000053	BGC0002063	BGC0001403	BGC0001403	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001988	32171	GCF0000053	BGC0002063	BGC0001988	BGC0001988	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002062	34222	GCF0000053	BGC0002063	BGC0002062	BGC0002062	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000121	36243	GCF0000053	BGC0002063	BGC0000121	BGC0000121	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002244	45207	GCF0000053	BGC0002063	BGC0002244	BGC0002244	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002726	73894	GCF0000053	BGC0002063	BGC0002726	BGC0002726	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002063	82565	GCF0000053	BGC0002063	BGC0002063	BGC0002063	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001886	36704	GCF0000054	BGC0001886	BGC0001886	BGC0001886	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000156	13275	GCF0000055	BGC0000168	BGC0000156	BGC0000156	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001144	15201	GCF0000055	BGC0000168	BGC0001144	BGC0001144	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002646	18848	GCF0000055	BGC0000168	BGC0002646	BGC0002646	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000684	21746	GCF0000055	BGC0000168	BGC0000684	BGC0000684	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000168	51400	GCF0000055	BGC0000168	BGC0000168	BGC0000168	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002507	18330	GCF0000056	BGC0002507	BGC0002507	BGC0002507	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000048	52829	GCF0000057	BGC0000007	BGC0000048	BGC0000048	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000011	59535	GCF0000057	BGC0000007	BGC0000011	BGC0000011	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000152	59725	GCF0000057	BGC0000007	BGC0000152	BGC0000152	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000009	75352	GCF0000057	BGC0000007	BGC0000009	BGC0000009	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000008	75829	GCF0000057	BGC0000007	BGC0000008	BGC0000008	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000010	78264	GCF0000057	BGC0000007	BGC0000008	BGC0000010	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000007	82511	GCF0000057	BGC0000007	BGC0000007	BGC0000007	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000006	88318	GCF0000057	BGC0000007	BGC0000008	BGC0000006	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000004	89641	GCF0000057	BGC0000007	BGC0000008	BGC0000004	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002258	25000	GCF0000058	BGC0002258	BGC0002258	BGC0002258	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002987	24656	GCF0000059	BGC0002987	BGC0002987	BGC0002987	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000404	56820	GCF0000060	BGC0000404	BGC0000404	BGC0000404	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000405	59497	GCF0000060	BGC0000404	BGC0000404	BGC0000405	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000080	67323	GCF0000061	BGC0000014	BGC0000080	BGC0000080	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000014	100708	GCF0000061	BGC0000014	BGC0000014	BGC0000014	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001051	58830	GCF0000062	BGC0001051	BGC0001051	BGC0001051	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001342	81745	GCF0000063	BGC0001342	BGC0001342	BGC0001342	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001831	6294	GCF0000064	BGC0001964	BGC0001831	BGC0001831	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001964	41089	GCF0000064	BGC0001964	BGC0001964	BGC0001964	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001940	19375	GCF0000065	BGC0001940	BGC0001940	BGC0001940	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002089	18465	GCF0000066	BGC0000444	BGC0002089	BGC0002089	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000444	20623	GCF0000066	BGC0000444	BGC0000444	BGC0000444	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002508	11423	GCF0000067	BGC0002508	BGC0002508	BGC0002508	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002749	18262	GCF0000068	BGC0002270	BGC0002749	BGC0002749	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001793	22998	GCF0000068	BGC0002270	BGC0001793	BGC0001793	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001794	23916	GCF0000068	BGC0002270	BGC0001794	BGC0001794	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002270	43845	GCF0000068	BGC0002270	BGC0002270	BGC0002270	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002198	114922	GCF0000069	BGC0002198	BGC0002198	BGC0002198	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000527	12324	GCF0000070	BGC0000527	BGC0000527	BGC0000527	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001727	13202	GCF0000071	BGC0001727	BGC0001727	BGC0001727	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001210	9235	GCF0000072	BGC0001210	BGC0001210	BGC0001210	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002700	5832	GCF0000073	BGC0002701	BGC0002700	BGC0002700	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002111	6681	GCF0000073	BGC0002701	BGC0002111	BGC0002111	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002701	9977	GCF0000073	BGC0002701	BGC0002701	BGC0002701	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001005	46783	GCF0000074	BGC0001005	BGC0001005	BGC0001005	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000506	14098	GCF0000075	BGC0000511	BGC0000506	BGC0000506	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0000511	14150	GCF0000075	BGC0000511	BGC0000511	BGC0000511	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
